Cuno,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,Total
1033321,1500,1500,1500,1500,1500,3000,1500,1500,0,0,0,0,0,0,0,0,0,44643.5,21770,21770,21770,20940,15480,7740,7740,7740,5612,0,13280,6640,6640,6640,6560,6720,0,0,0,235185.5
1033361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033370,500,0,600,0,0,0,0,0,0,0,0,9802,10192.25,0,0,0,0,0,0,0,13728,7510,8575,8575,17150,290,11050,0,0,0,0,0,0,0,0,0,0,87972.25
1033811,0,0,0,20536.85,16655,0,0,0,0,0,0,0,0,0,0,0,0,0,679.5,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,38519.35
1033860,0,0,0,0,0,0,1942.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942.5
1034560,0,0,0,0,37830.98,32015.96,30847.8,18943,3005,4220,8696.5,7959.5,6091.5,5991.5,400,200,200,200,-10000,10400,200,0,0,0,0,1000,3000,0,0,0,0,0,0,0,0,0,0,161201.74
1034610,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,2932
1034621,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585
1034870,0,3895,3895,3895,8940,6795,2900,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,31486
1035281,0,0,0,0,0,0,0,0,0,0,2115,5895,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,185.25,0,0,0,0,0,0,0,0,8765.25
1035431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,450
1035740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2565,5265,0,0,0,0,650,0,3350
1035851,0,350,0,0,710,0,0,0,0,325,0,677,115,465,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227
1036120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10138.5,26662,12400,13359.2,62559.7
1036241,14844,13160,45248,62190.4,48374,62715.2,58366,39875,48200,36410,27230.4,22463.2,21497.8,37925,-28431,78036,105000.8,65988.6,59692,110528.8,48368.8,28277.6,26888,6800,2300,-26047.4,44225,33493,34545,32082.4,26419.8,0,0,0,0,0,473.4,1187139.8
1036390,2665.75,0,5650,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2099.5,0,397,1695.66,2025,0,0,0,4766.25,0,0,0,0,0,0,0,47299.16
1036641,0,6000,0,0,0,0,0,0,0,0,0,0,2950,1110,0,24350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34410
1037121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,135,135,801
1037301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037361,0,0,0,0,0,0,0,0,0,0,0,-315,0,4793.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,1200,1200,11678.4
1037530,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
1037621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,1971.2,0,0,0,0,0,9137.5,-22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11986.2
1037950,0,64.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.24
1038120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,515
1038391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,0,0,560
1038440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,475
1038610,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950
1038631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700,0,0,0,863.05,863.05,863.05,863.05,863.05,863.05,863.05,863.05,863.05,863.05,863.05,363.05,347.05,847.05,847.05,847.05,847.05,29291.85
1038667,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,847.05,0,0,0,342.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15589.15
1038730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,125
1038991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,854
1039080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.8,0,0,0,1300,0,0,0,0,0,0,0,8033.3,2350,4217,3230,2430,2430,1215,0,0,25616.1
1039140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5,0,0,0,0,700,0,0,1297.5
1039350,0,0,5010,7985,0,0,0,4230,425,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,295,1624.5,0,0,0,0,0,0,0,0,0,0,0,19719.5
1039661,0,0,0,495,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444.18,3068.75,2332,0,0,8689.93
1039740,0,0,0,0,0,0,0,477,954,2341.8,0,2227.5,265.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6265.8
1039791,0,0,0,0,0,0,4296.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2998,0,0,1298.75
1039970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039991,0,0,0,0,0,0,0,0,333,6837,2617.19,1250,125,1560,1525.5,345,0,373.5,525,0,0,0,0,0,0,1150,0,0,0,0,622,0,0,3850,0,0,890,22003.19
1040011,0,0,0,0,567.5,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3649.5,0,0,5715,0,11430,5715,3323.25,8106.75,0,0,0,0,0,0,0,31708
1040400,4540.5,4950,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14440.5
1040520,0,0,0,0,0,0,0,0,3225,0,0,0,0,7523,4981,4981,4981,0,5220,0,10750,10750,10750,10750,29530,4650,4650,0,2830.5,2830.5,2830.5,2830.5,0,0,2557,2830.5,7159.55,136610.05
1040890,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,5892
1040911,0,0,0,0,0,0,0,0,0,0,0,2995,3330,1300,0,0,2340,0,0,0,0,0,0,0,711,2331,1802,1165.5,0,0,0,0,0,0,0,0,0,15974.5
1041210,0,0,0,0,0,0,0,3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390
1041240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17442,0,11000,11857,11857,91002.96,49567.25,27938.24,45857.53,22686,29113.75,0,0,0,0,0,318321.73
1041521,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,4860,0,12600,25200,380,12600,3953.6,3336,1001.25,3469.38,1350,0,0,0,0,0,0,0,0,0,11294,7246,0,89180.23
1041720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43462.09,0,0,0,0,38034.85,6372,32615.72,9642,12744,12744,12744,12744,13759,13759,12879,10471,25400,0,0,170446.48
1041780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,2140
1041791,0,0,0,0,0,0,0,0,0,0,196,0,0,0,6229.97,2475,5125,2535,2475,0,0,625.8,0,0,0,0,0,0,0,0,0,0,337.5,0,0,0,0,19999.27
1041991,0,0,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,320,1740,0,0,0,0,0,0,0,0,0,-4970,0,0,8535,0,0,0,0,0,8475
1042120,0,0,0,0,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1385,0,2085,0,0,0,0,0,0,0,2390
1042160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50000,0,25000,25000,0,25000,0,0,0,0,0,0,0,0,0,1875,4571.25,790.63,2560,0,0,34796.88
1042180,0,948,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,1190,1190,0,0,10100,8465,0,0,0,0,425,0,0,-225,23283
1042231,0,0,146.25,0,123,0,0,0,0,0,0,0,0,0,0,0,450,0,0,175,0,0,0,0,0,0,-461,1820.5,0,0,0,0,0,0,0,0,0,2253.75
1042331,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
1042581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
1043521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140,0,0,0,0,0,0,0,0,0,0,0,5140
1043580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044221,0,0,599.15,3635,2146.5,2997,0,0,1332,972,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12590.65
1044290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60
1044470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,735,0,9520,0,0,0,0,0,0,0,0,0,10500
1044670,0,3450,4760,0,0,0,0,0,0,0,0,0,5200,0,5550,5300,0,0,0,28400,14200,13135,976.25,6123.75,14200,14200,14200,14200,14200,14200,14200,28400,14200,14200,14200,18995.2,28504,304994.2
1044941,42808,28504,41304,14200,0,0,0,22000,0,0,0,0,0,0,0,0,0,1685,395,270,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,151541
1045031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1045121,0,0,0,0,876,0,0,0,0,0,550,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426
1045350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,130,0,0,0,0,0,0,0,0,0,0,0,260,0,0,675
1045371,0,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2264.08,0,7764.08,0,0,0,0,0,6306
1045700,0,0,0,0,0,0,0,0,0,3465,0,0,0,0,5090,2395,2395,1845,3450,5898.5,5604,932.5,2350,0,0,0,296,0,940,1880,940,940,940,0,0,0,0,39361
1045750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,395,0,275,0,0,0,995
1045871,0,0,0,0,0,0,0,0,0,0,113148.05,106673.36,85362.5,98037.19,90727.12,168719,173060.65,163786.2,276733,186352,152716,111849,131255,126359.4,67404.8,98175.2,50889.2,70065.6,63506,76893.8,80326.4,52469.4,55924.25,54501.15,14070.35,13852.35,17831.15,2700688.12
1045891,16162.35,17283.16,12326.35,21986.35,12326.35,6525.15,9850.39,15260.26,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113600.36
1045931,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-650,650,0,0,0,0,0,0,0,0,650
1046070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046080,1881.25,5049.25,1500,0,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.5,1134.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13294.5
1046160,0,0,0,0,0,0,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,13950
1046297,450,450,450,0,1287.18,4055.96,1943.5,2509.59,728,4040,3454,1242.5,9144,5106.6,4807.91,2203,1879,1910,2012.7,9045.69,6003,3818.33,9172.2,3461.05,5093.3,8101.83,8232.25,3893.2,8811.2,4889.2,11330.13,8936.08,2283.7,6450.09,3371.75,1420.4,3093,155080.34
1046350,303,0,0,0,0,0,0,0,0,0,0,2505.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808.63
1046380,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
1046600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,130,0,0,900,0,0,0,575,0,0,0,1755
1046800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1046991,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791
1047251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18027.65,18033.6,3693.25,39754.5
1047371,5040.5,9318.55,11406.75,18139,19847.5,16184,3255.5,11066.15,8823,11152,15589.85,10149.85,833,1326,3357.5,7012.5,11110.35,17860.44,11415.5,7609.2,7563.3,0,0,110.5,0,2389.79,4544.95,9169.95,44498.21,11874.65,9169.95,5118.7,0,0,0,0,0,294937.14
1047391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,245,630,0,0,0,0,0,0,0,0,0,1825
1047410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,230,0,0,0,285,0,0,0,0,1105
1047450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047760,0,0,0,0,0,0,-773.48,0,0,0,1661.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.47
1047850,0,0,0,0,0,0,0,914,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742
1048160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
1048840,0,0,0,0,0,0,0,0,0,0,4160,5225,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,10060
1048991,0,-2228,5225,5225,5225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13447
1049621,0,0,0,0,0,0,0,0,0,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250
1049651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.6,147.55,1020,485,0,0,0,0,0,0,0,0,0,5495,0,0,0,0,0,0,7620.15
1049660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.75
1049870,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,235,0,477,6707
1049950,0,375,0,0,0,439,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
1050381,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,225,11875.8,490.5,2784,805.5,0,0,10887,11546.9,0,5002,0,3560,1325,0,0,468,468,0,49939.7
1050460,0,0,395,0,0,0,364.5,418.5,0,0,0,930,1000,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4228
1050650,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,1430,4130
1050840,0,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585
1051171,0,0,0,0,0,0,0,0,4800,0,0,5500,0,0,1414,1770.1,701.4,0,868.5,0,0,868.5,868.5,0,2234,0,-5393.5,1240,8005.5,0,-700,2285,0,0,5089.5,335,2269,32155.5
1051240,0,1644.3,0,0,265.5,0,240,0,0,1011,1124,2155.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.25,175,0,0,6986.55
1051290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.5
1051781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.5,0,0,0,0,0,0,247.5
1052000,0,0,0,0,0,0,0,0,0,0,0,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3612
1052671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060,170.54,3164,11570.05,4456,4456,4456,4456,4456,4456,0,0,44700.59
1052760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052901,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
1053011,0,0,0,0,0,34940,25230,19350,19350,19350,19350,19350,38700,19350,19350,19350,19350,19350,0,0,0,0,1000,0,0,1925,3294,0,0,687.5,0,0,205,0,500,0,0,299981.5
1053070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.7
1053130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,22.5,45
1053291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.5,0,0,0,0,0,0,0,0,382.5
1053460,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763
1055730,0,0,0,0,0,0,0,0,0,0,0,1480.5,0,0,0,0,0,0,0,0,0,0,47,0,0,0,84,-9036,2300,2345,2565,2300,2534,1373,3227,3185,2220,14624.5
1055837,796,796,1592,0,796,796,796,270.91,1518,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,0,26854.91
1055857,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,0,0,16975
1055890,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098
1055930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,2175,8449,8449,8449,28007
1056260,8449,3584.43,22679,22679,20979,18719,8449,8449,7967.35,8449,9159,9159,9159,9159,15471.7,16579,16579,11044,5065,6315,4680,4680,4680,3530,3530,6425.34,3595,10465,10465,7765,3595,0,0,0,0,0,0,301503.82
1056610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,10892,26000,6500,6500,0,0,0,0,0,0,0,0,13942.66,28892,13000,6500,0,0,0,0,0,0,114393.66
1056890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,850,850,850,850,850,850,5950
1057240,850,1700,850,0,850,850,1162.5,1900,1900,1900,1900,2850,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2850,1900,1900,1900,1900,0,0,0,0,0,0,0,0,0,48062.5
1057300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,574
1057420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8,0,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.6
1057510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890
1057880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,135,0,0,0,0,0,0,0,0,0,1293.75,2828.75
1057900,0,0,0,0,0,0,0,0,0,-1662.1,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627.9
1057990,0,0,0,0,0,0,0,0,0,10925,10520,7795,3115,4600,12000,12595,12000,14400,9600,16650,7200,0,1031.25,1031.25,1031.25,1548.75,1031.25,1341.75,1404.75,1031.25,1031.25,1031.25,2062.5,1031.25,1456.25,1674.75,1305.75,140444.5
1058021,1031.25,1031.25,1031.25,1031.25,2062.5,1031.25,1537.75,1031.25,1031.25,1031.25,1031.25,250,0,0,0,0,274.5,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,14201
1058510,0,0,0,0,0,0,0,0,4640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4640
1058610,4360,3460,3460,3460,0,0,0,0,0,0,0,0,1350,2085,3435,6870,0,0,0,0,0,98.1,2605,2605,2605,3310.5,8640,336.5,0,5785,-486.98,2790,5875,0,6338.7,6243.3,4375,79600.12
1058860,5143.5,5451,2790,2790,6489,7279.2,1123,0,2252,0,600,1650,408.6,1299.5,4997.7,11801.4,1274.5,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55844.4
1058940,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,1780,0,0,1720,3590,11980,8000,0,7545,0,0,8580,4650,4650,9300,4650,0,0,3069,7986,77895
1059640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,2057.6,8230.4
1059960,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,2057.6,1028.8,1028.8,1028.8,0,0,0,0,0,0,1911,1911,1911,1911,1911,1911,3822,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,49830
1060870,3822,315,2940,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,22627
1061210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061340,0,0,0,0,0,228,0,0,0,0,0,0,54,0,0,0,0,0,0,0,9666,7308.5,8258.5,7875,5872.5,0,0,-75,1520,295,0,2423,8995,7282.5,9955,0,1375,71033
1062010,5450,48441,4169.5,3598,6073,6073,3373,7713.5,9040.5,1998,0,0,0,0,75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,150,0,75,150,0,75,75,75,97729.5
1062260,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,2580,2580,0,0,0,7710
1062500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9037.5,0,0,0,0,0,0,0,0,0,0,0,4018.9,0,0,0,0,0,0,0,13056.4
1062720,0,0,1420,3400,3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8616
1062960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063240,0,1900,745,1900,1850,0,0,0,0,0,0,0,0,0,0,0,4300,4300,5990,0,0,0,0,5555,-757.45,2610,16210.5,9750,15000,9750,6656.25,722.5,0,0,0,0,1215,87696.8
